location,direction,ts,value
Chodov,Chodov centrum,2018-01-05,56.0
Chodov,ul. Türkova,2018-01-05,32.0
Celetná,Ovocný trh,2018-01-05,131.0
Celetná,Prašná brána,2018-01-05,116.0
Dukelských hrdinů,centrum,2018-01-05,45.0
Dukelských hrdinů,z centra,2018-01-05,50.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-01-05,34.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-01-05,39.0
Hlubočepská,centrum,2018-01-05,64.0
Hlubočepská,Hlubočepy,2018-01-05,73.0
Jeremenkova,Pankrác,2018-01-05,61.0
Jeremenkova,Podolské nábřeží,2018-01-05,35.0
Nábřeží Kapitána Jaroše,Libeň,2018-01-05,73.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-01-05,102.0
Letňany,z centra,2018-01-05,40.0
Letňany,centrum,2018-01-05,33.0
Radotín,Radotín,2018-01-05,37.0
Radotín,Zbraslav,2018-01-05,40.0
Nuselský most,centrum,2018-01-05,53.0
Nuselský most,ul. 5. května,2018-01-05,55.0
Střešovice,do centra,2018-01-05,10.0
Střešovice,z centra,2018-01-05,8.0
Pelléova,Jaselská,2018-01-05,35.0
Pelléova,Milady Horákové,2018-01-05,42.0
Podolské nábřeží - stezka,z centra (Braník),2018-01-05,125.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-01-05,155.0
Podolské nábřeží - vozovka,z centra (Braník),2018-01-05,85.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-01-05,43.0
Podbabská,ul. Roztocká,2018-01-05,17.0
Podbabská,ul. Jugoslávkých partyzánů,2018-01-05,20.0
Povltavská, ul. Vodácká,2018-01-05,43.0
Povltavská,ZOO,2018-01-05,76.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-01-05,
Rohanské nábřeží,z centra (Karlín),2018-01-05,
Šeberov,Kunratice,2018-01-05,15.0
Šeberov,Šeberov,2018-01-05,14.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-01-05,62.0
Lahovičky (Strakonická),z centra (Radotín),2018-01-05,80.0
Krč (Sulická),Lhotka,2018-01-05,51.0
Krč (Sulická),Krč,2018-01-05,70.0
Císařský ostrov,do centra (Stromovka),2018-01-05,129.0
Císařský ostrov,z centra (Trója),2018-01-05,128.0
Stezka okolo Rokytky,O2 Aréna,2018-01-05,41.0
Stezka okolo Rokytky,ul. U Elektry,2018-01-05,54.0
Drážní stezka - Vítkov,Hrdlořezy,2018-01-05,36.0
Drážní stezka - Vítkov,Seifertova,2018-01-05,27.0
Modřany,z centra,2018-01-05,138.0
Modřany,centrum,2018-01-05,138.0
Vršovická,Strašnice,2018-01-05,52.0
Vršovická,Nusle,2018-01-05,54.0
Košíře,centrum,2018-01-05,45.0
Barrandovský most,Barrandovský most,2018-01-06,247.0
Barrandovský most,Zlíchov,2018-01-06,327.0
Chodov,Chodov centrum,2018-01-06,105.0
