location,direction,ts,value
Střešovice,do centra,2019-09-30,0.0
Střešovice,z centra,2019-09-30,0.0
Pelléova,Jaselská,2019-09-30,75.0
Pelléova,Milady Horákové,2019-09-30,89.0
Podolské nábřeží - stezka,z centra (Braník),2019-09-30,254.0
Podolské nábřeží - stezka,do centra (Výtoň),2019-09-30,334.0
Podolské nábřeží - vozovka,z centra (Braník),2019-09-30,218.0
Podolské nábřeží - vozovka,do centra (Výtoň),2019-09-30,89.0
Podbabská,ul. Roztocká,2019-09-30,32.0
Podbabská,ul. Jugoslávkých partyzánů,2019-09-30,18.0
Povltavská, ul. Vodácká,2019-09-30,0.0
Povltavská,ZOO,2019-09-30,0.0
Rohanské nábřeží,do centra (náb. L. Svobody),2019-09-30,363.0
Rohanské nábřeží,z centra (Karlín),2019-09-30,336.0
Šeberov,Kunratice,2019-09-30,0.0
Šeberov,Šeberov,2019-09-30,0.0
Smetanovo nábřeží,Karlův most,2019-09-30,255.0
Smetanovo nábřeží,Národní divadlo,2019-09-30,299.0
Lahovičky (Strakonická),do centra (M. Chuchle),2019-09-30,70.0
Lahovičky (Strakonická),z centra (Radotín),2019-09-30,97.0
Krč (Sulická),Lhotka,2019-09-30,125.0
Krč (Sulická),Krč,2019-09-30,101.0
Císařský ostrov,do centra (Stromovka),2019-09-30,96.0
Císařský ostrov,z centra (Trója),2019-09-30,92.0
Stezka okolo Rokytky,O2 Aréna,2019-09-30,
Stezka okolo Rokytky,ul. U Elektry,2019-09-30,
Drážní stezka - Vítkov,Hrdlořezy,2019-09-30,155.0
Drážní stezka - Vítkov,Seifertova,2019-09-30,66.0
Modřany,z centra,2019-09-30,135.0
Modřany,centrum,2019-09-30,81.0
Vršovická,Strašnice,2019-09-30,157.0
Vršovická,Nusle,2019-09-30,141.0
Košíře,centrum,2019-09-30,0.0
V Zámcích,Bohnice,2019-09-30,
V Zámcích,Klecany,2019-09-30,10.0
Anděl (Plzeňská),Plzeňská (z centra),2019-10-01,110.0
Anděl (Plzeňská),Štefánikova (centrum),2019-10-01,57.0
Atletická,Ladronka,2019-10-01,
Atletická,Strahov,2019-10-01,154.0
Barrandovský most,Barrandovský most,2019-10-01,153.0
Barrandovský most,Zlíchov,2019-10-01,171.0
Chodov,Chodov centrum,2019-10-01,121.0
Chodov,ul. Türkova,2019-10-01,107.0
U Českých loděnic,Libeň,2019-10-01,1.0
U Českých loděnic,Povltavská,2019-10-01,19.0
Dukelských hrdinů,centrum,2019-10-01,23.0
Dukelských hrdinů,z centra,2019-10-01,386.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2019-10-01,25.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2019-10-01,74.0
Hybernská,Na Příkopě,2019-10-01,
Hybernská,Wilsonova,2019-10-01,165.0
Hlubočepská,centrum,2019-10-01,289.0
Hlubočepská,Hlubočepy,2019-10-01,265.0
Jeremenkova,Pankrác,2019-10-01,108.0
Jeremenkova,Podolské nábřeží,2019-10-01,17.0
Kampa,Karlův most,2019-10-01,9.0
Kampa,most Legií,2019-10-01,274.0
Nábřeží Kapitána Jaroše,Libeň,2019-10-01,302.0
Nábřeží Kapitána Jaroše,Malá Strana,2019-10-01,651.0
Letňany,z centra,2019-10-01,95.0
Letňany,centrum,2019-10-01,91.0
Radotín,Radotín,2019-10-01,80.0
Radotín,Zbraslav,2019-10-01,75.0
Mladoboleslavská,Prosek,2019-10-01,90.0
Mladoboleslavská,Vinoř,2019-10-01,65.0
Nuselský most,centrum,2019-10-01,809.0
Nuselský most,ul. 5. května,2019-10-01,27.0
Střešovice,do centra,2019-10-01,0.0
Střešovice,z centra,2019-10-01,0.0
Pelléova,Jaselská,2019-10-01,88.0
Pelléova,Milady Horákové,2019-10-01,108.0
Podolské nábřeží - stezka,z centra (Braník),2019-10-01,381.0
Podolské nábřeží - stezka,do centra (Výtoň),2019-10-01,625.0
Podolské nábřeží - vozovka,z centra (Braník),2019-10-01,357.0
Podolské nábřeží - vozovka,do centra (Výtoň),2019-10-01,131.0
Podbabská,ul. Roztocká,2019-10-01,45.0
Podbabská,ul. Jugoslávkých partyzánů,2019-10-01,20.0
Povltavská, ul. Vodácká,2019-10-01,0.0
Povltavská,ZOO,2019-10-01,0.0
Rohanské nábřeží,do centra (náb. L. Svobody),2019-10-01,583.0
Rohanské nábřeží,z centra (Karlín),2019-10-01,522.0
Šeberov,Kunratice,2019-10-01,0.0
Šeberov,Šeberov,2019-10-01,0.0
Smetanovo nábřeží,Karlův most,2019-10-01,261.0
Smetanovo nábřeží,Národní divadlo,2019-10-01,268.0
Lahovičky (Strakonická),do centra (M. Chuchle),2019-10-01,196.0
Lahovičky (Strakonická),z centra (Radotín),2019-10-01,297.0
Krč (Sulická),Lhotka,2019-10-01,281.0
Krč (Sulická),Krč,2019-10-01,268.0
Císařský ostrov,do centra (Stromovka),2019-10-01,161.0
Císařský ostrov,z centra (Trója),2019-10-01,182.0
Stezka okolo Rokytky,O2 Aréna,2019-10-01,
Stezka okolo Rokytky,ul. U Elektry,2019-10-01,
Drážní stezka - Vítkov,Hrdlořezy,2019-10-01,284.0
Drážní stezka - Vítkov,Seifertova,2019-10-01,85.0
Modřany,z centra,2019-10-01,318.0
Modřany,centrum,2019-10-01,238.0
Vršovická,Strašnice,2019-10-01,143.0
Vršovická,Nusle,2019-10-01,136.0
Košíře,centrum,2019-10-01,0.0
V Zámcích,Bohnice,2019-10-01,
V Zámcích,Klecany,2019-10-01,59.0
Anděl (Plzeňská),Plzeňská (z centra),2019-10-02,97.0
Anděl (Plzeňská),Štefánikova (centrum),2019-10-02,53.0
Atletická,Ladronka,2019-10-02,
Atletická,Strahov,2019-10-02,150.0
Barrandovský most,Barrandovský most,2019-10-02,154.0
Barrandovský most,Zlíchov,2019-10-02,175.0
Chodov,Chodov centrum,2019-10-02,65.0
Chodov,ul. Türkova,2019-10-02,95.0
U Českých loděnic,Libeň,2019-10-02,
U Českých loděnic,Povltavská,2019-10-02,
Dukelských hrdinů,centrum,2019-10-02,12.0
Dukelských hrdinů,z centra,2019-10-02,362.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2019-10-02,13.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2019-10-02,12.0
Hybernská,Na Příkopě,2019-10-02,
Hybernská,Wilsonova,2019-10-02,183.0
Hlubočepská,centrum,2019-10-02,86.0
Hlubočepská,Hlubočepy,2019-10-02,97.0
Jeremenkova,Pankrác,2019-10-02,67.0
Jeremenkova,Podolské nábřeží,2019-10-02,36.0
Kampa,Karlův most,2019-10-02,45.0
Kampa,most Legií,2019-10-02,72.0
Nábřeží Kapitána Jaroše,Libeň,2019-10-02,286.0
Nábřeží Kapitána Jaroše,Malá Strana,2019-10-02,579.0
Letňany,z centra,2019-10-02,36.0
Letňany,centrum,2019-10-02,41.0
Radotín,Radotín,2019-10-02,41.0
Radotín,Zbraslav,2019-10-02,42.0
Mladoboleslavská,Prosek,2019-10-02,64.0
Mladoboleslavská,Vinoř,2019-10-02,36.0
Nuselský most,centrum,2019-10-02,700.0
Nuselský most,ul. 5. května,2019-10-02,11.0
Střešovice,do centra,2019-10-02,0.0
Střešovice,z centra,2019-10-02,0.0
Pelléova,Jaselská,2019-10-02,70.0
Pelléova,Milady Horákové,2019-10-02,87.0
Podolské nábřeží - stezka,z centra (Braník),2019-10-02,186.0
Podolské nábřeží - stezka,do centra (Výtoň),2019-10-02,256.0
Podolské nábřeží - vozovka,z centra (Braník),2019-10-02,146.0
Podolské nábřeží - vozovka,do centra (Výtoň),2019-10-02,69.0
Podbabská,ul. Roztocká,2019-10-02,33.0
Podbabská,ul. Jugoslávkých partyzánů,2019-10-02,20.0
Povltavská, ul. Vodácká,2019-10-02,0.0
Povltavská,ZOO,2019-10-02,0.0
Rohanské nábřeží,do centra (náb. L. Svobody),2019-10-02,306.0
Rohanské nábřeží,z centra (Karlín),2019-10-02,261.0
Šeberov,Kunratice,2019-10-02,0.0
Šeberov,Šeberov,2019-10-02,0.0
Smetanovo nábřeží,Karlův most,2019-10-02,255.0
Smetanovo nábřeží,Národní divadlo,2019-10-02,294.0
Lahovičky (Strakonická),do centra (M. Chuchle),2019-10-02,58.0
Lahovičky (Strakonická),z centra (Radotín),2019-10-02,91.0
Krč (Sulická),Lhotka,2019-10-02,141.0
Krč (Sulická),Krč,2019-10-02,122.0
Císařský ostrov,do centra (Stromovka),2019-10-02,94.0
Císařský ostrov,z centra (Trója),2019-10-02,100.0
Stezka okolo Rokytky,O2 Aréna,2019-10-02,
Stezka okolo Rokytky,ul. U Elektry,2019-10-02,
Drážní stezka - Vítkov,Hrdlořezy,2019-10-02,123.0
Drážní stezka - Vítkov,Seifertova,2019-10-02,42.0
Modřany,z centra,2019-10-02,79.0
Modřany,centrum,2019-10-02,66.0
Vršovická,Strašnice,2019-10-02,149.0
Vršovická,Nusle,2019-10-02,149.0
Košíře,centrum,2019-10-02,0.0
V Zámcích,Bohnice,2019-10-02,2.0
V Zámcích,Klecany,2019-10-02,37.0
Anděl (Plzeňská),Plzeňská (z centra),2019-10-03,110.0
Anděl (Plzeňská),Štefánikova (centrum),2019-10-03,65.0
Atletická,Ladronka,2019-10-03,
Atletická,Strahov,2019-10-03,149.0
Barrandovský most,Barrandovský most,2019-10-03,137.0
Barrandovský most,Zlíchov,2019-10-03,167.0
Chodov,Chodov centrum,2019-10-03,74.0
Chodov,ul. Türkova,2019-10-03,60.0
U Českých loděnic,Libeň,2019-10-03,
U Českých loděnic,Povltavská,2019-10-03,
Dukelských hrdinů,centrum,2019-10-03,7.0
Dukelských hrdinů,z centra,2019-10-03,355.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2019-10-03,14.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2019-10-03,33.0
Hybernská,Na Příkopě,2019-10-03,
Hybernská,Wilsonova,2019-10-03,173.0
Hlubočepská,centrum,2019-10-03,113.0
Hlubočepská,Hlubočepy,2019-10-03,92.0
Jeremenkova,Pankrác,2019-10-03,79.0
Jeremenkova,Podolské nábřeží,2019-10-03,15.0
Kampa,Karlův most,2019-10-03,175.0
Kampa,most Legií,2019-10-03,166.0
Nábřeží Kapitána Jaroše,Libeň,2019-10-03,320.0
Nábřeží Kapitána Jaroše,Malá Strana,2019-10-03,624.0
Letňany,z centra,2019-10-03,62.0
Letňany,centrum,2019-10-03,56.0
Radotín,Radotín,2019-10-03,17.0
Radotín,Zbraslav,2019-10-03,18.0
Mladoboleslavská,Prosek,2019-10-03,64.0
Mladoboleslavská,Vinoř,2019-10-03,45.0
Nuselský most,centrum,2019-10-03,604.0
Nuselský most,ul. 5. května,2019-10-03,12.0
Střešovice,do centra,2019-10-03,0.0
Střešovice,z centra,2019-10-03,0.0
Pelléova,Jaselská,2019-10-03,54.0
Pelléova,Milady Horákové,2019-10-03,61.0
Podolské nábřeží - stezka,z centra (Braník),2019-10-03,203.0
Podolské nábřeží - stezka,do centra (Výtoň),2019-10-03,306.0
Podolské nábřeží - vozovka,z centra (Braník),2019-10-03,162.0
Podolské nábřeží - vozovka,do centra (Výtoň),2019-10-03,84.0
Podbabská,ul. Roztocká,2019-10-03,15.0
Podbabská,ul. Jugoslávkých partyzánů,2019-10-03,5.0
Povltavská, ul. Vodácká,2019-10-03,0.0
Povltavská,ZOO,2019-10-03,0.0
Rohanské nábřeží,do centra (náb. L. Svobody),2019-10-03,280.0
Rohanské nábřeží,z centra (Karlín),2019-10-03,252.0
Šeberov,Kunratice,2019-10-03,0.0
Šeberov,Šeberov,2019-10-03,0.0
Smetanovo nábřeží,Karlův most,2019-10-03,245.0
Smetanovo nábřeží,Národní divadlo,2019-10-03,289.0
Lahovičky (Strakonická),do centra (M. Chuchle),2019-10-03,43.0
Lahovičky (Strakonická),z centra (Radotín),2019-10-03,67.0
Krč (Sulická),Lhotka,2019-10-03,105.0
Krč (Sulická),Krč,2019-10-03,101.0
Císařský ostrov,do centra (Stromovka),2019-10-03,186.0
Císařský ostrov,z centra (Trója),2019-10-03,213.0
Stezka okolo Rokytky,O2 Aréna,2019-10-03,
Stezka okolo Rokytky,ul. U Elektry,2019-10-03,
Drážní stezka - Vítkov,Hrdlořezy,2019-10-03,150.0
Drážní stezka - Vítkov,Seifertova,2019-10-03,49.0
Modřany,z centra,2019-10-03,74.0
Modřany,centrum,2019-10-03,66.0
Vršovická,Strašnice,2019-10-03,158.0
Vršovická,Nusle,2019-10-03,155.0
Košíře,centrum,2019-10-03,0.0
V Zámcích,Bohnice,2019-10-03,4.0
V Zámcích,Klecany,2019-10-03,110.0
Anděl (Plzeňská),Plzeňská (z centra),2019-10-04,116.0
Anděl (Plzeňská),Štefánikova (centrum),2019-10-04,34.0
Atletická,Ladronka,2019-10-04,
Atletická,Strahov,2019-10-04,134.0
Barrandovský most,Barrandovský most,2019-10-04,165.0
Barrandovský most,Zlíchov,2019-10-04,223.0
Chodov,Chodov centrum,2019-10-04,95.0
Chodov,ul. Türkova,2019-10-04,74.0
U Českých loděnic,Libeň,2019-10-04,
U Českých loděnic,Povltavská,2019-10-04,
Dukelských hrdinů,centrum,2019-10-04,7.0
Dukelských hrdinů,z centra,2019-10-04,343.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2019-10-04,14.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2019-10-04,35.0
Hybernská,Na Příkopě,2019-10-04,
Hybernská,Wilsonova,2019-10-04,205.0
Hlubočepská,centrum,2019-10-04,144.0
Hlubočepská,Hlubočepy,2019-10-04,148.0
Jeremenkova,Pankrác,2019-10-04,80.0
Jeremenkova,Podolské nábřeží,2019-10-04,28.0
Kampa,Karlův most,2019-10-04,125.0
Kampa,most Legií,2019-10-04,177.0
Nábřeží Kapitána Jaroše,Libeň,2019-10-04,291.0
Nábřeží Kapitána Jaroše,Malá Strana,2019-10-04,640.0
Letňany,z centra,2019-10-04,49.0
Letňany,centrum,2019-10-04,57.0
Radotín,Radotín,2019-10-04,
Radotín,Zbraslav,2019-10-04,
Mladoboleslavská,Prosek,2019-10-04,78.0
Mladoboleslavská,Vinoř,2019-10-04,51.0
Nuselský most,centrum,2019-10-04,715.0
Nuselský most,ul. 5. května,2019-10-04,14.0
Střešovice,do centra,2019-10-04,0.0
Střešovice,z centra,2019-10-04,0.0
Pelléova,Jaselská,2019-10-04,68.0
Pelléova,Milady Horákové,2019-10-04,69.0
Podolské nábřeží - stezka,z centra (Braník),2019-10-04,202.0
Podolské nábřeží - stezka,do centra (Výtoň),2019-10-04,300.0
Podolské nábřeží - vozovka,z centra (Braník),2019-10-04,214.0
Podolské nábřeží - vozovka,do centra (Výtoň),2019-10-04,86.0
Podbabská,ul. Roztocká,2019-10-04,32.0
Podbabská,ul. Jugoslávkých partyzánů,2019-10-04,15.0
Povltavská, ul. Vodácká,2019-10-04,123.0
Povltavská,ZOO,2019-10-04,67.0
Rohanské nábřeží,do centra (náb. L. Svobody),2019-10-04,319.0
Rohanské nábřeží,z centra (Karlín),2019-10-04,309.0
Šeberov,Kunratice,2019-10-04,0.0
Šeberov,Šeberov,2019-10-04,0.0
Smetanovo nábřeží,Karlův most,2019-10-04,253.0
Smetanovo nábřeží,Národní divadlo,2019-10-04,293.0
Lahovičky (Strakonická),do centra (M. Chuchle),2019-10-04,106.0
Lahovičky (Strakonická),z centra (Radotín),2019-10-04,173.0
Krč (Sulická),Lhotka,2019-10-04,138.0
Krč (Sulická),Krč,2019-10-04,123.0
Císařský ostrov,do centra (Stromovka),2019-10-04,121.0
Císařský ostrov,z centra (Trója),2019-10-04,117.0
Stezka okolo Rokytky,O2 Aréna,2019-10-04,
Stezka okolo Rokytky,ul. U Elektry,2019-10-04,
Drážní stezka - Vítkov,Hrdlořezy,2019-10-04,164.0
Drážní stezka - Vítkov,Seifertova,2019-10-04,70.0
Modřany,z centra,2019-10-04,189.0
Modřany,centrum,2019-10-04,106.0
Vršovická,Strašnice,2019-10-04,159.0
Vršovická,Nusle,2019-10-04,142.0
Košíře,centrum,2019-10-04,0.0
V Zámcích,Bohnice,2019-10-04,10.0
V Zámcích,Klecany,2019-10-04,158.0
Anděl (Plzeňská),Plzeňská (z centra),2019-10-05,62.0
Anděl (Plzeňská),Štefánikova (centrum),2019-10-05,6.0
Atletická,Ladronka,2019-10-05,
Atletická,Strahov,2019-10-05,26.0
Barrandovský most,Barrandovský most,2019-10-05,35.0
Barrandovský most,Zlíchov,2019-10-05,47.0
Chodov,Chodov centrum,2019-10-05,32.0
Chodov,ul. Türkova,2019-10-05,16.0
U Českých loděnic,Libeň,2019-10-05,
U Českých loděnic,Povltavská,2019-10-05,
Dukelských hrdinů,centrum,2019-10-05,2.0
Dukelských hrdinů,z centra,2019-10-05,221.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2019-10-05,3.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2019-10-05,6.0
Hybernská,Na Příkopě,2019-10-05,
Hybernská,Wilsonova,2019-10-05,225.0
Hlubočepská,centrum,2019-10-05,24.0
Hlubočepská,Hlubočepy,2019-10-05,20.0
Jeremenkova,Pankrác,2019-10-05,12.0
Jeremenkova,Podolské nábřeží,2019-10-05,14.0
Kampa,Karlův most,2019-10-05,54.0
Kampa,most Legií,2019-10-05,75.0
Nábřeží Kapitána Jaroše,Libeň,2019-10-05,161.0
Nábřeží Kapitána Jaroše,Malá Strana,2019-10-05,459.0
Letňany,z centra,2019-10-05,12.0
Letňany,centrum,2019-10-05,9.0
Radotín,Radotín,2019-10-05,
Radotín,Zbraslav,2019-10-05,
Mladoboleslavská,Prosek,2019-10-05,29.0
Mladoboleslavská,Vinoř,2019-10-05,18.0
Nuselský most,centrum,2019-10-05,35.0
Nuselský most,ul. 5. května,2019-10-05,5.0
Střešovice,do centra,2019-10-05,0.0
Střešovice,z centra,2019-10-05,0.0
Pelléova,Jaselská,2019-10-05,11.0
Pelléova,Milady Horákové,2019-10-05,22.0
Podolské nábřeží - stezka,z centra (Braník),2019-10-05,63.0
Podolské nábřeží - stezka,do centra (Výtoň),2019-10-05,83.0
Podolské nábřeží - vozovka,z centra (Braník),2019-10-05,43.0
Podolské nábřeží - vozovka,do centra (Výtoň),2019-10-05,26.0
Podbabská,ul. Roztocká,2019-10-05,14.0
Podbabská,ul. Jugoslávkých partyzánů,2019-10-05,9.0
Povltavská, ul. Vodácká,2019-10-05,44.0
Povltavská,ZOO,2019-10-05,23.0
Rohanské nábřeží,do centra (náb. L. Svobody),2019-10-05,102.0
Rohanské nábřeží,z centra (Karlín),2019-10-05,85.0
Šeberov,Kunratice,2019-10-05,0.0
Šeberov,Šeberov,2019-10-05,0.0
Smetanovo nábřeží,Karlův most,2019-10-05,306.0
Smetanovo nábřeží,Národní divadlo,2019-10-05,283.0
Lahovičky (Strakonická),do centra (M. Chuchle),2019-10-05,37.0
Lahovičky (Strakonická),z centra (Radotín),2019-10-05,40.0
Krč (Sulická),Lhotka,2019-10-05,27.0
Krč (Sulická),Krč,2019-10-05,28.0
Císařský ostrov,do centra (Stromovka),2019-10-05,16.0
Císařský ostrov,z centra (Trója),2019-10-05,20.0
Stezka okolo Rokytky,O2 Aréna,2019-10-05,
Stezka okolo Rokytky,ul. U Elektry,2019-10-05,
Drážní stezka - Vítkov,Hrdlořezy,2019-10-05,70.0
Drážní stezka - Vítkov,Seifertova,2019-10-05,19.0
Modřany,z centra,2019-10-05,49.0
Modřany,centrum,2019-10-05,34.0
Vršovická,Strašnice,2019-10-05,58.0
Vršovická,Nusle,2019-10-05,74.0
Košíře,centrum,2019-10-05,0.0
V Zámcích,Bohnice,2019-10-05,1.0
V Zámcích,Klecany,2019-10-05,53.0
Anděl (Plzeňská),Plzeňská (z centra),2019-10-06,87.0
Anděl (Plzeňská),Štefánikova (centrum),2019-10-06,1.0
Atletická,Ladronka,2019-10-06,
Atletická,Strahov,2019-10-06,49.0
Barrandovský most,Barrandovský most,2019-10-06,212.0
Barrandovský most,Zlíchov,2019-10-06,313.0
Chodov,Chodov centrum,2019-10-06,100.0
Chodov,ul. Türkova,2019-10-06,61.0
U Českých loděnic,Libeň,2019-10-06,
U Českých loděnic,Povltavská,2019-10-06,3.0
Dukelských hrdinů,centrum,2019-10-06,7.0
Dukelských hrdinů,z centra,2019-10-06,215.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2019-10-06,17.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2019-10-06,50.0
Hybernská,Na Příkopě,2019-10-06,
Hybernská,Wilsonova,2019-10-06,190.0
Hlubočepská,centrum,2019-10-06,211.0
Hlubočepská,Hlubočepy,2019-10-06,189.0
Jeremenkova,Pankrác,2019-10-06,74.0
Jeremenkova,Podolské nábřeží,2019-10-06,4.0
Kampa,Karlův most,2019-10-06,93.0
Kampa,most Legií,2019-10-06,115.0
Nábřeží Kapitána Jaroše,Libeň,2019-10-06,174.0
Nábřeží Kapitána Jaroše,Malá Strana,2019-10-06,340.0
Letňany,z centra,2019-10-06,74.0
Letňany,centrum,2019-10-06,72.0
Radotín,Radotín,2019-10-06,
Radotín,Zbraslav,2019-10-06,
Mladoboleslavská,Prosek,2019-10-06,102.0
Mladoboleslavská,Vinoř,2019-10-06,69.0
Nuselský most,centrum,2019-10-06,90.0
Nuselský most,ul. 5. května,2019-10-06,12.0
Střešovice,do centra,2019-10-06,0.0
Střešovice,z centra,2019-10-06,0.0
Pelléova,Jaselská,2019-10-06,32.0
Pelléova,Milady Horákové,2019-10-06,43.0
Podolské nábřeží - stezka,z centra (Braník),2019-10-06,228.0
Podolské nábřeží - stezka,do centra (Výtoň),2019-10-06,314.0
Podolské nábřeží - vozovka,z centra (Braník),2019-10-06,174.0
Podolské nábřeží - vozovka,do centra (Výtoň),2019-10-06,73.0
Podbabská,ul. Roztocká,2019-10-06,36.0
Podbabská,ul. Jugoslávkých partyzánů,2019-10-06,38.0
Povltavská, ul. Vodácká,2019-10-06,307.0
Povltavská,ZOO,2019-10-06,322.0
Rohanské nábřeží,do centra (náb. L. Svobody),2019-10-06,264.0
Rohanské nábřeží,z centra (Karlín),2019-10-06,212.0
Šeberov,Kunratice,2019-10-06,0.0
Šeberov,Šeberov,2019-10-06,0.0
Smetanovo nábřeží,Karlův most,2019-10-06,300.0
Smetanovo nábřeží,Národní divadlo,2019-10-06,257.0
Lahovičky (Strakonická),do centra (M. Chuchle),2019-10-06,274.0
Lahovičky (Strakonická),z centra (Radotín),2019-10-06,402.0
Krč (Sulická),Lhotka,2019-10-06,175.0
Krč (Sulická),Krč,2019-10-06,184.0
Císařský ostrov,do centra (Stromovka),2019-10-06,116.0
Císařský ostrov,z centra (Trója),2019-10-06,121.0
Stezka okolo Rokytky,O2 Aréna,2019-10-06,
Stezka okolo Rokytky,ul. U Elektry,2019-10-06,
Drážní stezka - Vítkov,Hrdlořezy,2019-10-06,215.0
Drážní stezka - Vítkov,Seifertova,2019-10-06,79.0
Modřany,z centra,2019-10-06,498.0
Modřany,centrum,2019-10-06,404.0
Vršovická,Strašnice,2019-10-06,69.0
Vršovická,Nusle,2019-10-06,26.0
Košíře,centrum,2019-10-06,0.0
V Zámcích,Bohnice,2019-10-06,112.0
V Zámcích,Klecany,2019-10-06,498.0
Anděl (Plzeňská),Plzeňská (z centra),2019-10-07,128.0
Anděl (Plzeňská),Štefánikova (centrum),2019-10-07,33.0
Atletická,Ladronka,2019-10-07,
Atletická,Strahov,2019-10-07,156.0
Barrandovský most,Barrandovský most,2019-10-07,265.0
Barrandovský most,Zlíchov,2019-10-07,326.0
Chodov,Chodov centrum,2019-10-07,132.0
Chodov,ul. Türkova,2019-10-07,96.0
U Českých loděnic,Libeň,2019-10-07,
U Českých loděnic,Povltavská,2019-10-07,4.0
Dukelských hrdinů,centrum,2019-10-07,13.0
Dukelských hrdinů,z centra,2019-10-07,364.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2019-10-07,18.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2019-10-07,50.0
Hybernská,Na Příkopě,2019-10-07,
Hybernská,Wilsonova,2019-10-07,164.0
Hlubočepská,centrum,2019-10-07,219.0
Hlubočepská,Hlubočepy,2019-10-07,206.0
Jeremenkova,Pankrác,2019-10-07,107.0
Jeremenkova,Podolské nábřeží,2019-10-07,22.0
Kampa,Karlův most,2019-10-07,188.0
Kampa,most Legií,2019-10-07,209.0
Nábřeží Kapitána Jaroše,Libeň,2019-10-07,305.0
Nábřeží Kapitána Jaroše,Malá Strana,2019-10-07,618.0
Letňany,z centra,2019-10-07,84.0
Letňany,centrum,2019-10-07,69.0
Radotín,Radotín,2019-10-07,10.0
Radotín,Zbraslav,2019-10-07,6.0
Mladoboleslavská,Prosek,2019-10-07,123.0
Mladoboleslavská,Vinoř,2019-10-07,90.0
Nuselský most,centrum,2019-10-07,683.0
Nuselský most,ul. 5. května,2019-10-07,31.0
Střešovice,do centra,2019-10-07,0.0
Střešovice,z centra,2019-10-07,0.0
Pelléova,Jaselská,2019-10-07,86.0
Pelléova,Milady Horákové,2019-10-07,82.0
Podolské nábřeží - stezka,z centra (Braník),2019-10-07,272.0
Podolské nábřeží - stezka,do centra (Výtoň),2019-10-07,438.0
Podolské nábřeží - vozovka,z centra (Braník),2019-10-07,279.0
Podolské nábřeží - vozovka,do centra (Výtoň),2019-10-07,37.0
Podbabská,ul. Roztocká,2019-10-07,49.0
Podbabská,ul. Jugoslávkých partyzánů,2019-10-07,26.0
Povltavská, ul. Vodácká,2019-10-07,229.0
Povltavská,ZOO,2019-10-07,181.0
Rohanské nábřeží,do centra (náb. L. Svobody),2019-10-07,448.0
Rohanské nábřeží,z centra (Karlín),2019-10-07,391.0
Šeberov,Kunratice,2019-10-07,0.0
Šeberov,Šeberov,2019-10-07,0.0
Smetanovo nábřeží,Karlův most,2019-10-07,274.0
Smetanovo nábřeží,Národní divadlo,2019-10-07,275.0
Lahovičky (Strakonická),do centra (M. Chuchle),2019-10-07,157.0
Lahovičky (Strakonická),z centra (Radotín),2019-10-07,265.0
Krč (Sulická),Lhotka,2019-10-07,209.0
Krč (Sulická),Krč,2019-10-07,207.0
Císařský ostrov,do centra (Stromovka),2019-10-07,146.0
Císařský ostrov,z centra (Trója),2019-10-07,168.0
Stezka okolo Rokytky,O2 Aréna,2019-10-07,
Stezka okolo Rokytky,ul. U Elektry,2019-10-07,
Drážní stezka - Vítkov,Hrdlořezy,2019-10-07,205.0
Drážní stezka - Vítkov,Seifertova,2019-10-07,91.0
Modřany,z centra,2019-10-07,297.0
Modřany,centrum,2019-10-07,241.0
Vršovická,Strašnice,2019-10-07,157.0
Vršovická,Nusle,2019-10-07,103.0
Košíře,centrum,2019-10-07,0.0
V Zámcích,Bohnice,2019-10-07,136.0
V Zámcích,Klecany,2019-10-07,256.0
Anděl (Plzeňská),Plzeňská (z centra),2019-10-08,73.0
Anděl (Plzeňská),Štefánikova (centrum),2019-10-08,47.0
Atletická,Ladronka,2019-10-08,
Atletická,Strahov,2019-10-08,153.0
Barrandovský most,Barrandovský most,2019-10-08,111.0
Barrandovský most,Zlíchov,2019-10-08,145.0
Chodov,Chodov centrum,2019-10-08,75.0
Chodov,ul. Türkova,2019-10-08,52.0
U Českých loděnic,Libeň,2019-10-08,
U Českých loděnic,Povltavská,2019-10-08,
Dukelských hrdinů,centrum,2019-10-08,5.0
Dukelských hrdinů,z centra,2019-10-08,276.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2019-10-08,14.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2019-10-08,28.0
Hybernská,Na Příkopě,2019-10-08,
